epoch,step,train/alpha_effective,train/closure_ratio,train/dir_trace,train/edge_trace_sum,train/loss,train/whitening,val/alpha_effective,val/closure_defect_frobenius,val/closure_ratio,val/dir_trace,val/edge_trace_sum,val/loss,val/whitening,val_score
0,174,0.2000003457069397,1.0231627225875854,12.890007972717285,57.16514587402344,106.66493225097656,0.02314535714685917,,,,,,,,
1,349,0.2000003457069397,0.7698248028755188,19.441829681396484,73.12724304199219,64.49327850341797,0.02298140898346901,,,,,,,,
2,524,0.2000003457069397,0.5372390747070312,28.634319305419922,96.39984130859375,20.87485694885254,0.02255568839609623,,,,,,,,
3,699,0.2000003457069397,0.43755388259887695,34.99639892578125,113.15474700927734,-1.5981019735336304,0.0223358366638422,,,,,,,,
4,874,0.2000003457069397,0.3835587501525879,40.658302307128906,126.68128204345703,-16.876941680908203,0.022105595096945763,,,,,,,,
5,1049,0.2000003457069397,0.3460773229598999,45.718353271484375,137.60260009765625,-28.919109344482422,0.021852923557162285,,,,,,,,
6,1224,0.2000003457069397,0.3203655183315277,49.99533462524414,146.25596618652344,-38.218082427978516,0.021646583452820778,,,,,,,,
7,1399,0.2000003457069397,0.2992904782295227,53.63301467895508,153.26065063476562,-45.95456314086914,0.02142571657896042,,,,,,,,
8,1574,0.2000003457069397,0.28401631116867065,56.387752532958984,158.2498016357422,-51.6623420715332,0.021256623789668083,,,,,,,,
9,1749,,,,,,,0.20000001788139343,4.161060810089111,0.2903752624988556,58.03622055053711,162.5919952392578,-53.3651237487793,0.02146313153207302,53.3651237487793
9,1749,0.2000003457069397,0.26964789628982544,58.710662841796875,162.76976013183594,-56.7286262512207,0.02104434370994568,,,,,,,,
10,1924,0.2000003457069397,0.2598799467086792,60.534759521484375,165.95697021484375,-60.440670013427734,0.02085094526410103,,,,,,,,
11,2099,0.2000003457069397,0.24953122437000275,62.506221771240234,169.46681213378906,-64.43901062011719,0.020566819235682487,,,,,,,,
12,2274,0.2000003457069397,0.24205809831619263,63.87628173828125,172.05999755859375,-67.28462219238281,0.020229078829288483,,,,,,,,
13,2449,0.2000003457069397,0.23746711015701294,64.90634155273438,173.79638671875,-69.2498550415039,0.0199626125395298,,,,,,,,
14,2624,0.2000003457069397,0.22913506627082825,66.26815032958984,175.968505859375,-72.11285400390625,0.01969260349869728,,,,,,,,
15,2799,0.2000003457069397,0.22291652858257294,67.1750259399414,177.47779846191406,-74.11782836914062,0.019443368539214134,,,,,,,,
16,2974,0.2000003457069397,0.21920636296272278,67.93746948242188,178.88636779785156,-75.6371078491211,0.019205691292881966,,,,,,,,
17,3149,0.2000003457069397,0.21544817090034485,68.54589080810547,179.723388671875,-76.89414978027344,0.019019432365894318,,,,,,,,
18,3324,0.2000003457069397,0.21286119520664215,69.12802124023438,180.78343200683594,-78.01960754394531,0.018837453797459602,,,,,,,,
19,3499,,,,,,,0.20000001788139343,4.054013729095459,0.23720310628414154,67.67941284179688,179.87548828125,-73.27362060546875,0.01888764649629593,73.27362060546875
19,3499,0.2000003457069397,0.2088446468114853,69.85850524902344,182.001220703125,-79.50794219970703,0.018710583448410034,,,,,,,,
20,3674,0.2000003457069397,0.205741748213768,70.64302825927734,183.39743041992188,-80.96900939941406,0.018578071147203445,,,,,,,,
21,3849,0.2000003457069397,0.20413517951965332,71.1473159790039,183.9129180908203,-81.7821273803711,0.01846354268491268,,,,,,,,
22,4024,0.2000003457069397,0.20196117460727692,71.48123168945312,184.80458068847656,-82.57282257080078,0.01832965388894081,,,,,,,,
23,4199,0.2000003457069397,0.1984407901763916,72.15087890625,185.62713623046875,-83.85762023925781,0.018244650214910507,,,,,,,,
24,4374,0.2000003457069397,0.197052463889122,72.41414642333984,186.41326904296875,-84.45591735839844,0.01818688027560711,,,,,,,,
25,4549,0.2000003457069397,0.19427618384361267,72.63224029541016,186.8943634033203,-85.1256103515625,0.01813272200524807,,,,,,,,
26,4724,0.2000003457069397,0.19605666399002075,73.22662353515625,187.99778747558594,-85.71283721923828,0.018046582117676735,,,,,,,,
27,4899,0.2000003457069397,0.19370721280574799,73.56309509277344,188.76475524902344,-86.50355529785156,0.017999745905399323,,,,,,,,
28,5074,0.2000003457069397,0.19184812903404236,73.85992431640625,188.89694213867188,-87.06480407714844,0.017988314852118492,,,,,,,,
29,5249,,,,,,,0.20000001788139343,3.9693257808685303,0.2149629145860672,71.76972198486328,187.1715545654297,-81.67064666748047,0.018138039857149124,81.67064666748047
29,5249,0.2000003457069397,0.18944083154201508,74.24172973632812,189.38735961914062,-87.85282897949219,0.017940465360879898,,,,,,,,
30,5424,0.2000003457069397,0.1882973313331604,74.56800842285156,189.76596069335938,-88.40123748779297,0.017912736162543297,,,,,,,,
